identifier,category,information_element,modification_type,Follow the suggestions or not,Pull request is accepted or not,Reason for not following,Reason for not accepted
nodejs/node#47078c11,Description of implementation,Release notes,Add,0,1,Suggestion is posted after pull request closure,
tensorflow/tensorflow#54453c2,Description of implementation,Function summary,Add,1,1,,
nodejs/node#33922c1,Description of implementation,Function summary,Add,0,0,No explanation given,
nodejs/node#33922c1,Description of motivation,Motivation,Add,0,0,No explanation given,
tensorflow/tensorflow#28949c4,Description of implementation,Function summary,Update,0,0,No explanation given,
axios/axios#1915c1,Miscellaneous,Template content,Delete,0,0,No explanation given,
facebook/react#18029c4,Description of implementation,Technical details,Add,0,1,Resolved the problem in another location,
flutter/flutter#38568c3,Description of implementation,Effect,Update,1,1,,
flutter/flutter#119904c4,Description of problem,Related issue,Add,0,0,No explanation given,
flutter/flutter#11988c2,Description of implementation,Function summary,Update,1,1,,
electron/electron#13245c1,Description of implementation,Release notes,Add,1,1,,
nodejs/node#33317c2,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
tensorflow/tensorflow#54788c2,Description of implementation,Technical details,Delete,1,1,,
facebook/react#19997c5,Description of implementation,Function summary,Add,1,0,,Feature is not needed
facebook/react#19997c5,Description of motivation,Motivation,Add,1,0,,Feature is not needed
flutter/flutter#32970c3,Description of implementation,Function summary,Add,0,0,No explanation given,
microsoft/vscode#122969c2,Description of problem,Problem statement,Add,1,1,,
flutter/flutter#18189c1,Description of implementation,Function summary,Update,0,1,No explanation given,
tensorflow/tensorflow#26358c1,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
flutter/flutter#117540c2,Description of motivation,Motivation,Add,0,0,No explanation given,
nodejs/node#45693c4,Description of implementation,Trade-off,Add,1,1,,
tensorflow/tensorflow#54373c1,Description of implementation,Function summary,Add,0,0,No explanation given,
facebook/react-native#32164c3,Description of motivation,Motivation,Add,0,0,No explanation given,
nodejs/node#7130c2,Description of motivation,Motivation,Add,0,0,Resolved the problem in another location,
flutter/flutter#51435c4,Description of implementation,Trade-off,Add,1,1,,
golang/go#29460c21,Miscellaneous,Format change,Update,1,0,,Replaced by another pull request
electron/electron#27006c2,Description of implementation,Release notes,Add,1,1,,
tensorflow/tensorflow#40367c6,Description of problem,Problem statement,Add,1,1,,
tensorflow/tensorflow#31601c4,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
tensorflow/tensorflow#53659c10,Description of implementation,Function summary,Update,0,0,No explanation given,
axios/axios#3581c2,Description of problem,Related issue,Add,1,1,,
facebook/react#2368c1,Description of quality,Test,Add,0,1,Difficult to modify,
flutter/flutter#122636c1,Description of motivation,Motivation,Add,0,1,Resolved the problem in another location,
tensorflow/tensorflow#33114c2,Description of implementation,Function summary,Update,1,1,,
facebook/react-native#22670c10,Description of implementation,Function summary,Update,0,1,No explanation given,
