identifier,close_time,author_association,comment_association,category,information_element,modification_type,merged,modified,repo,Reason_for_not_following
nodejs/node#47078,875003,MEMBER,CONTRIBUTOR,Implementation,Add release notes,Add,1,0,nodejs/node,Suggestion is posted after PR closure
tensorflow/tensorflow#54453,5701941,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add function summary,Add,1,1,tensorflow/tensorflow,
nodejs/node#33922,36799,NONE,MEMBER,Implementation,Add function summary,Add,0,0,nodejs/node,No explanation given
nodejs/node#33922,36799,NONE,MEMBER,Motivation,Add motivation,Add,0,0,nodejs/node,No explanation given
tensorflow/tensorflow#28949,154432,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update function summary,Update,0,0,tensorflow/tensorflow,No explanation given
axios/axios#1915,5071002,NONE,NONE,Miscellaneous,Delete template content,Delete,0,0,axios/axios,No explanation given
facebook/react#18029,529544,COLLABORATOR,COLLABORATOR,Implementation,Add technical details,Add,1,0,facebook/react,No explanation given
flutter/flutter#38568,778655,CONTRIBUTOR,CONTRIBUTOR,Implementation,Update effect,Update,1,1,flutter/flutter,
flutter/flutter#119904,5151372,NONE,MEMBER,Problem,Add related issue,Add,0,0,flutter/flutter,No explanation given
flutter/flutter#11988,1056928,MEMBER,MEMBER,Implementation,Update function summary,Update,1,1,flutter/flutter,
electron/electron#13245,333803,CONTRIBUTOR,CONTRIBUTOR,Implementation,Add release notes,Add,1,1,electron/electron,
nodejs/node#33317,29030211,MEMBER,CONTRIBUTOR,Motivation,Add motivation,Add,0,0,nodejs/node,Problem is resolved in subsequent comments
tensorflow/tensorflow#54788,1228775,CONTRIBUTOR,CONTRIBUTOR,Implementation,Delete technical details,Delete,1,1,tensorflow/tensorflow,
facebook/react#19997,63922994,CONTRIBUTOR,MEMBER,Implementation,Add function summary,Add,0,1,facebook/react,
facebook/react#19997,63922994,CONTRIBUTOR,MEMBER,Motivation,Add motivation,Add,0,1,facebook/react,
flutter/flutter#32970,108398,NONE,CONTRIBUTOR,Implementation,Add function summary,Add,0,0,flutter/flutter,No explanation given
