identifier,close_time,merged,edited,repo,repo_age,repo_commits,experience,open_tasks,pull_lines,pull_desc_len
nodejs/node#47078,875003,1,0,nodejs/node,5140,38439,43,417,15,293
tensorflow/tensorflow#54453,5701941,1,1,tensorflow/tensorflow,2296,125660,11,191,187,37
nodejs/node#33922,36799,0,0,nodejs/node,4140,30801,0,350,290,350
nodejs/node#33922,36799,0,0,nodejs/node,4140,30801,0,350,290,350
tensorflow/tensorflow#28949,154432,0,0,tensorflow/tensorflow,1293,58331,0,326,2367,20
axios/axios#1915,5071002,0,0,axios/axios,1572,834,0,90,28,125
facebook/react#18029,529544,1,0,facebook/react,2451,12808,459,99,26,229
flutter/flutter#38568,778655,1,1,flutter/flutter,1757,15275,285,135,224,337
flutter/flutter#119904,5151372,0,0,flutter/flutter,3025,33185,0,196,12,4
flutter/flutter#11988,1056928,1,1,flutter/flutter,1051,9009,117,24,63,28
electron/electron#13245,333803,1,1,electron/electron,1919,19216,68,47,150,0
nodejs/node#33317,29030211,0,0,nodejs/node,4100,30440,136,315,122764,350
tensorflow/tensorflow#54788,1228775,1,1,tensorflow/tensorflow,2307,126054,48,290,22,370
facebook/react#19997,63922994,0,1,facebook/react,2692,13618,1,118,718,190
facebook/react#19997,63922994,0,1,facebook/react,2692,13618,1,118,718,190
flutter/flutter#32970,108398,0,0,flutter/flutter,1668,14217,1,107,2,473
microsoft/vscode#122969,6527763,1,1,microsoft/vscode,2000,81476,0,211,119,78
flutter/flutter#18189,63449,1,0,flutter/flutter,1321,11053,491,57,50,5
tensorflow/tensorflow#26358,552340,1,0,tensorflow/tensorflow,1215,50973,75,327,4,5
flutter/flutter#117540,1054708,0,0,flutter/flutter,2982,32628,0,193,1812,328
nodejs/node#45693,531077,1,1,nodejs/node,5036,37698,20,382,73359,4182
tensorflow/tensorflow#54373,20689355,0,0,tensorflow/tensorflow,2292,125363,30,181,38,0
facebook/react-native#32164,1257967,0,0,facebook/react-native,2413,23154,0,318,285,149
nodejs/node#7130,37097,0,0,nodejs/node,2665,14122,0,234,6,0
flutter/flutter#51435,162812,1,1,flutter/flutter,1952,17725,79,117,15,479
golang/go#29460,93471526,0,1,golang/go,16965,39091,1,76,35,47
electron/electron#27006,67983,1,1,electron/electron,2834,24463,0,93,2,195
tensorflow/tensorflow#40367,1114948,1,1,tensorflow/tensorflow,1678,87942,49,200,4,19
tensorflow/tensorflow#31601,13552006,1,0,tensorflow/tensorflow,1377,65204,11,243,15,4
tensorflow/tensorflow#53659,12022790,0,0,tensorflow/tensorflow,2252,123563,24,170,496,196
axios/axios#3581,31186985,1,1,axios/axios,2349,979,0,77,38,176
facebook/react#2368,63473,1,0,facebook/react,506,2975,267,104,2,27
flutter/flutter#122636,83,1,0,flutter/flutter,3065,33802,9,204,417,4
tensorflow/tensorflow#33114,1839750,1,1,tensorflow/tensorflow,1431,69460,15,230,2,4
facebook/react-native#22670,3502908,0,0,facebook/react-native,1417,15347,214,226,199,241
twbs/bootstrap#3669,121850,0,0,twbs/bootstrap,401,2410,1,54,4,0
twbs/bootstrap#24594,6106,0,0,twbs/bootstrap,2377,17178,0,81,4,0
facebook/react#22999,104116,0,0,facebook/react,3127,14695,1,249,15,384
facebook/react#22999,104116,0,0,facebook/react,3127,14695,1,249,15,384
flutter/flutter#8914,64689,1,1,flutter/flutter,880,7766,0,10,6,107
ytdl-org/youtube-dl#30366,136481,1,1,ytdl-org/youtube-dl,4895,18491,0,906,8,522
tensorflow/tensorflow#30949,1146321,0,0,tensorflow/tensorflow,1355,63211,0,276,114,0
tensorflow/tensorflow#30949,1146321,0,0,tensorflow/tensorflow,1355,63211,0,276,114,0
tensorflow/tensorflow#41981,2709922,1,1,tensorflow/tensorflow,1731,92478,2,214,379,61
golang/go#24927,3369,0,1,golang/go,16710,36305,0,14,30,12
electron/electron#29380,3621071,1,0,electron/electron,2998,25161,6,89,451,190
golang/go#36920,2279287,0,0,golang/go,17363,42645,0,168,22,22
tensorflow/tensorflow#50408,10447149,1,1,tensorflow/tensorflow,2055,113114,0,181,175,43
nodejs/node#46108,173229,1,0,nodejs/node,5072,37898,558,411,15,300
nodejs/node#15648,170715,0,1,nodejs/node,3147,18950,84,145,47,152
nodejs/node#29526,873109,0,1,nodejs/node,3860,28088,144,305,175,386
tensorflow/tensorflow#56465,1860041,1,1,tensorflow/tensorflow,2413,130978,65,206,49,10
tensorflow/tensorflow#56465,1860041,1,1,tensorflow/tensorflow,2413,130978,65,206,49,10
flutter/flutter#20887,66241,1,1,flutter/flutter,1399,11663,2,93,21,48
ytdl-org/youtube-dl#25734,21834588,0,1,ytdl-org/youtube-dl,4351,17715,0,653,147,539
